Service,Customer Name,Vehicle Model,Service Type,Service Date,Service Cost,Service Status,Payment Method,Technician
SVC927,Fatima Bello,Honda Accord,Ac Service,1/3/2024,"$23,031.30 ",Completed,Card,Tech1
SVC1050,Grace Johnson,Toyota Corolla,Brake Repair,7/18/2025,"$901,328.30 ",Cancelled,Card,Tech8
SVC1051,Tunde Bakare,Hyundai Elantra,Engine Diagnostics,8/14/2024,"$73,151.50 ",Pending,Cash,Tech35
SVC1052,Emeka Obi,Toyota Corolla,Battery Replacement,4/13/2024,"$51,874.70 ",Cancelled,Card,Tech3
SVC920,Chinedu Okeke,Hyundai Elantra,Ac Service,10/4/2025,"$84,636.90 ",Completed,Card,Tech35
SVC1054,Fatima Bello,Toyota Corolla,Ac Service,10/6/2024,"$148,877.30 ",Pending,Transfer,Tech2
SVC1055,Emeka Obi,Honda Accord,Engine Diagnostics,2/21/2024,"$25,973.10 ",Completed,Cash,Tech10
SVC1165,Adewale Musa,Nissan Altima,Ac Service,7/24/2025,"$89,088.90 ",Pending,Transfer,Tech18
SVC1057,Fatima Bello,Hyundai Elantra,Brake Repair,9/3/2024,"$129,121.90 ",In Progress,Cash,Tech31
SVC1058,Chinedu Okeke,Honda Accord,Brake Repair,23/02/2025,"$19,458.20 ",Completed,Transfer,Tech25
SVC1059,Tunde Bakare,Hyundai Elantra,Wheel Alignment,7/25/2023,"$29,122.90 ",Completed,Cash,Tech42
SVC1060,Grace Johnson,Hyundai Elantra,Battery Replacement,7/25/2023,"$93,376.30 ",In Progress,Card,Tech19
SVC1061,Tunde Bakare,Honda Accord,Brake Repair,12/25/2023,"$69,050.80 ",Pending,Transfer,Tech10
SVC1063,Fatima Bello,Ford Focus,Unknown Service,11/20/2023,"$8,181.20 ",Completed,Card,Tech17
SVC1064,Fatima Bello,Ford Focus,Ac Service,8/28/2024,"$95,029.20 ",In Progress,Transfer,Tech44
SVC1065,Tunde Bakare,Hyundai Elantra,Ac Service,24/03/2024,"$52,374.30 ",Completed,Card,Tech7
SVC1066,Grace Johnson,Hyundai Elantra,Ac Service,7/4/2023,"$144,619.50 ",In Progress,Card,Tech33
SVC1067,John Doe,Ford Focus,Ac Service,8/24/2023,"$142,207.90 ",Pending,Card,Tech24
SVC1068,John Doe,Honda Accord,Oil Change,10/14/2023,"$64,176.80 ",In Progress,Card,Tech29
SVC1069,Adewale Musa,Kia Rio,Wheel Alignment,9/29/2025,"$1,008,533.60 ",Pending,Card,Tech22
SVC1071,Fatima Bello,Toyota Corolla,Wheel Alignment,9/15/2023,"$117,812.50 ",Pending,Card,Tech21
SVC1072,Tunde Bakare,Ford Focus,Battery Replacement,12/24/2023,"$104,484.10 ",Cancelled,Card,Tech3
SVC1074,Adewale Musa,Nissan Altima,Brake Repair,9/2/2025,"$59,273.70 ",Cancelled,Cash,Tech21
SVC1075,Chinedu Okeke,Toyota Corolla,Oil Change,4/2/2025,"$56,271.70 ",Cancelled,Cash,Tech6
SVC1076,Adewale Musa,Ford Focus,Ac Service,10/2/2024,"$115,577.80 ",Pending,Transfer,Tech39
SVC1077,Chinedu Okeke,Honda Accord,Unknown Service,9/8/2023,"$131,130.10 ",Pending,Card,Tech43
SVC1079,Fatima Bello,Hyundai Elantra,Unknown Service,1/22/2025,"$117,641.20 ",Completed,Transfer,Tech41
SVC1090,Grace Johnson,Kia Rio,Oil Change,13/01/2023,"$48,705.80 ",Completed,Card,Tech11
SVC1081,Chinedu Okeke,Toyota Corolla,Unknown Service,9/30/2024,"$125,836.40 ",In Progress,Transfer,Tech21
SVC1082,Emeka Obi,Honda Accord,Brake Repair,16/01/2023,"$37,128.00 ",Completed,Cash,Tech2
SVC1171,Tunde Bakare,Ford Focus,Ac Service,10/21/2025,"$42,115.40 ",Completed,Card,Tech33
SVC1085,Tunde Bakare,Hyundai Elantra,Engine Diagnostics,9/27/2024,"$94,176.20 ",Completed,Card,Tech50
SVC1086,Emeka Obi,Ford Focus,Battery Replacement,30/07/2023,"$78,159.60 ",Pending,Cash,Tech37
SVC1088,Adewale Musa,Honda Accord,Unknown Service,6/7/2023,"$23,698.00 ",Completed,Cash,Tech34
SVC1089,Jane Smith,Ford Focus,Oil Change,12/4/2024,"$31,138.10 ",Completed,Transfer,Tech22
SVC1136,Chinedu Okeke,Kia Rio,Engine Diagnostics,11/16/2024,"$39,679.40 ",In Progress,Transfer,Tech15
SVC1092,Tunde Bakare,Nissan Altima,Brake Repair,9/27/2024,"$121,182.60 ",Completed,Card,Tech44
SVC1093,Jane Smith,Ford Focus,Engine Diagnostics,4/24/2024,"$42,109.00 ",Cancelled,Transfer,Tech36
SVC1094,Adewale Musa,Nissan Altima,Brake Repair,28/11/2023,"$126,319.70 ",Completed,Transfer,Tech2
SVC1095,John Doe,Nissan Altima,Ac Service,17/11/2025,"$14,813.50 ",In Progress,Transfer,Tech50
SVC1097,Chinedu Okeke,Kia Rio,Battery Replacement,12/8/2025,"$116,867.70 ",Cancelled,Cash,Tech10
SVC1098,Emeka Obi,Toyota Corolla,Ac Service,5/8/2024,"$10,362.70 ",Completed,Transfer,Tech31
SVC1099,Grace Johnson,Honda Accord,Brake Repair,5/10/2023,"$130,540.80 ",Completed,Transfer,Tech35
SVC1101,Jane Smith,Honda Accord,Unknown Service,1/1/2025,"$43,674.50 ",Completed,Cash,Tech20
SVC1102,Chinedu Okeke,Kia Rio,Oil Change,1/22/2025,"$559,743.10 ",Pending,Card,Tech26
SVC1080,Tunde Bakare,Hyundai Elantra,Battery Replacement,12/8/2023,"$121,158.90 ",In Progress,Card,Tech12
SVC1104,Fatima Bello,Kia Rio,Oil Change,1/14/2025,"$142,579.40 ",Pending,Card,Tech28
SVC1105,Tunde Bakare,Hyundai Elantra,Brake Repair,11/11/2023,"$149,603.10 ",In Progress,Card,Tech44
SVC1106,Jane Smith,Toyota Corolla,Ac Service,12/20/2023,"$37,515.00 ",Pending,Transfer,Tech24
SVC1107,Chinedu Okeke,Kia Rio,Battery Replacement,1/10/2025,"$62,733.20 ",Cancelled,Cash,Tech23
SVC1108,Adewale Musa,Nissan Altima,Battery Replacement,5/15/2023,"$67,729.70 ",In Progress,Cash,Tech2
SVC1109,John Doe,Ford Focus,Engine Diagnostics,8/1/2024,"$97,083.30 ",Pending,Card,Tech37
SVC934,Tunde Bakare,Ford Focus,Wheel Alignment,28/05/2024,"$16,777.30 ",Completed,Card,Tech10
SVC1112,Tunde Bakare,Nissan Altima,Brake Repair,3/26/2023,"$121,679.80 ",Completed,Transfer,Tech35
SVC1113,Tunde Bakare,Ford Focus,Engine Diagnostics,16/09/2025,"$23,961.10 ",Pending,Transfer,Tech14
SVC1114,Fatima Bello,Ford Focus,Ac Service,12/8/2024,"$144,589.50 ",Pending,Card,Tech30
SVC1115,Adewale Musa,Ford Focus,Unknown Service,6/5/2025,"$71,298.40 ",Completed,Card,Tech49
SVC1116,Emeka Obi,Toyota Corolla,Brake Repair,3/16/2025,"$103,657.80 ",In Progress,Cash,Tech19
SVC1117,Grace Johnson,Toyota Corolla,Unknown Service,10/2/2023,"$24,870.30 ",Completed,Cash,Tech37
SVC1118,Grace Johnson,Nissan Altima,Oil Change,7/26/2024,"$125,102.00 ",Completed,Transfer,Tech22
SVC1119,John Doe,Kia Rio,Battery Replacement,4/3/2023,"$145,225.30 ",Cancelled,Card,Tech39
SVC1120,Fatima Bello,Kia Rio,Engine Diagnostics,11/19/2024,"$68,950.60 ",Pending,Cash,Tech2
SVC1121,Fatima Bello,Toyota Corolla,Wheel Alignment,1/26/2024,"$141,515.40 ",Cancelled,Transfer,Tech4
SVC1122,Fatima Bello,Nissan Altima,Brake Repair,9/6/2025,"$143,418.30 ",Completed,Cash,Tech33
SVC1123,Jane Smith,Honda Accord,Wheel Alignment,3/9/2024,"$20,837.90 ",Completed,Card,Tech23
SVC1124,Emeka Obi,Nissan Altima,Wheel Alignment,3/19/2025,"$146,797.10 ",Completed,Transfer,Tech46
SVC1125,Fatima Bello,Nissan Altima,Unknown Service,10/7/2024,"$137,418.30 ",In Progress,Transfer,Tech6
SVC1126,Emeka Obi,Toyota Corolla,Engine Diagnostics,1/11/2023,"$70,880.60 ",In Progress,Transfer,Tech34
SVC1127,Fatima Bello,Toyota Corolla,Unknown Service,12/31/2025,"$119,661.30 ",In Progress,Cash,Tech42
SVC1128,Emeka Obi,Nissan Altima,Battery Replacement,11/17/2024,"$101,829.00 ",Completed,Cash,Tech26
SVC1129,Jane Smith,Ford Focus,Brake Repair,1/29/2023,"$113,421.60 ",Completed,Card,Tech30
SVC1130,Chinedu Okeke,Ford Focus,Wheel Alignment,4/28/2024,"$125,172.20 ",Completed,Card,Tech41
SVC1131,John Doe,Honda Accord,Brake Repair,11/10/2023,"$24,131.90 ",Completed,Transfer,Tech8
SVC1132,Grace Johnson,Ford Focus,Brake Repair,4/24/2023,"$103,995.90 ",Pending,Card,Tech43
SVC1133,Adewale Musa,Nissan Altima,Brake Repair,12/6/2024,"$102,657.50 ",Cancelled,Transfer,Tech21
SVC1134,Jane Smith,Toyota Corolla,Brake Repair,2/8/2025,"$34,881.80 ",Completed,Cash,Tech20
SVC1135,Chinedu Okeke,Hyundai Elantra,Ac Service,9/3/2024,"$51,241.00 ",Pending,Card,Tech19
SVC1137,Chinedu Okeke,Toyota Corolla,Unknown Service,2/2/2023,"$76,865.00 ",In Progress,Card,Tech12
SVC1138,Fatima Bello,Kia Rio,Wheel Alignment,4/24/2024,"$129,343.50 ",Completed,Card,Tech30
SVC1139,Adewale Musa,Honda Accord,Unknown Service,5/24/2025,"$18,407.30 ",Completed,Card,Tech48
SVC1140,Tunde Bakare,Nissan Altima,Unknown Service,4/6/2024,"$131,073.70 ",Completed,Card,Tech20
SVC1141,Grace Johnson,Hyundai Elantra,Engine Diagnostics,7/10/2025,"$85,051.50 ",Pending,Cash,Tech21
SVC1142,Emeka Obi,Ford Focus,Engine Diagnostics,8/9/2025,"$58,752.20 ",Cancelled,Card,Tech44
SVC1143,Jane Smith,Kia Rio,Unknown Service,17/10/2024,"$84,843.20 ",Completed,Transfer,Tech13
SVC1144,Grace Johnson,Kia Rio,Engine Diagnostics,5/1/2023,"$9,904.40 ",Completed,Transfer,Tech42
SVC1145,Fatima Bello,Kia Rio,Brake Repair,2/3/2025,"$94,586.10 ",Completed,Transfer,Tech27
SVC1146,John Doe,Honda Accord,Engine Diagnostics,8/10/2024,"$77,821.30 ",In Progress,Cash,Tech32
SVC1147,Jane Smith,Hyundai Elantra,Oil Change,2/3/2025,"$71,554.70 ",Completed,Transfer,Tech7
SVC1148,Adewale Musa,Nissan Altima,Wheel Alignment,9/1/2025,"$97,328.50 ",In Progress,Cash,Tech22
SVC937,Jane Smith,Nissan Altima,Battery Replacement,8/31/2025,"$11,751.50 ",Completed,Transfer,Tech21
SVC1150,Tunde Bakare,Hyundai Elantra,Ac Service,4/9/2024,"$86,773.90 ",Pending,Card,Tech49
SVC1151,Adewale Musa,Hyundai Elantra,Engine Diagnostics,14/06/2025,"$126,607.80 ",In Progress,Cash,Tech2
SVC1152,Grace Johnson,Honda Accord,Battery Replacement,1/16/2024,"$100,797.40 ",Cancelled,Transfer,Tech5
SVC1153,Adewale Musa,Hyundai Elantra,Brake Repair,1/11/2023,"$69,486.70 ",Pending,Transfer,Tech28
SVC1154,Chinedu Okeke,Toyota Corolla,Oil Change,10/26/2024,"$6,789.40 ",Cancelled,Card,Tech34
SVC1155,Adewale Musa,Hyundai Elantra,Engine Diagnostics,12/9/2023,"$45,014.50 ",Pending,Card,Tech16
SVC1156,Jane Smith,Toyota Corolla,Oil Change,8/19/2024,"$145,325.70 ",Completed,Transfer,Tech24
SVC1157,Jane Smith,Nissan Altima,Oil Change,3/5/2024,"$120,664.40 ",In Progress,Cash,Tech32
SVC1158,Grace Johnson,Honda Accord,Ac Service,12/7/2023,"$11,423.00 ",In Progress,Transfer,Tech28
SVC1159,Emeka Obi,Hyundai Elantra,Unknown Service,22/11/2025,"$85,027.00 ",Completed,Card,Tech26
SVC1160,Grace Johnson,Kia Rio,Ac Service,5/29/2025,"$5,645.30 ",Pending,Card,Tech7
SVC1161,Grace Johnson,Kia Rio,Unknown Service,12/16/2025,"$91,560.80 ",Pending,Transfer,Tech25
SVC1162,Fatima Bello,Kia Rio,Brake Repair,10/3/2024,"$39,593.10 ",In Progress,Card,Tech1
SVC1163,Emeka Obi,Ford Focus,Wheel Alignment,12/8/2023,"$46,881.00 ",Completed,Transfer,Tech19
SVC1164,Fatima Bello,Kia Rio,Oil Change,10/4/2025,"$107,970.60 ",Completed,Card,Tech49
SVC1166,Chinedu Okeke,Nissan Altima,Ac Service,11/12/2025,"$88,043.50 ",Pending,Card,Tech35
SVC1167,Emeka Obi,Hyundai Elantra,Wheel Alignment,13/10/2023,"$122,961.80 ",Completed,Card,Tech9
SVC1169,Adewale Musa,Kia Rio,Wheel Alignment,10/5/2023,"$138,221.50 ",In Progress,Transfer,Tech33
SVC1172,Tunde Bakare,Hyundai Elantra,Engine Diagnostics,7/4/2024,"$59,400.00 ",Pending,Cash,Tech28
SVC1173,Fatima Bello,Nissan Altima,Unknown Service,7/10/2023,"$28,051.70 ",In Progress,Card,Tech6
SVC1174,Grace Johnson,Hyundai Elantra,Oil Change,9/28/2023,"$100,045.40 ",Pending,Transfer,Tech9
SVC1175,Chinedu Okeke,Nissan Altima,Engine Diagnostics,4/24/2024,"$105,634.50 ",Pending,Cash,Tech7
SVC1176,Chinedu Okeke,Hyundai Elantra,Brake Repair,9/4/2023,"$114,104.60 ",Pending,Transfer,Tech9
SVC1177,Jane Smith,Kia Rio,Brake Repair,5/21/2023,"$34,789.60 ",In Progress,Transfer,Tech42
SVC1178,Grace Johnson,Kia Rio,Wheel Alignment,25/07/2023,"$148,098.00 ",In Progress,Transfer,Tech35
SVC1180,Jane Smith,Honda Accord,Oil Change,12/17/2025,"$10,774.90 ",In Progress,Transfer,Tech46
SVC1181,Jane Smith,Honda Accord,Battery Replacement,20/06/2024,"$139,071.00 ",Completed,Transfer,Tech21
SVC1182,Fatima Bello,Nissan Altima,Wheel Alignment,7/22/2024,"$143,187.40 ",In Progress,Transfer,Tech43
SVC1183,John Doe,Hyundai Elantra,Unknown Service,5/15/2024,"$80,958.90 ",Completed,Card,Tech24
SVC1185,John Doe,Toyota Corolla,Brake Repair,12/2/2023,"$40,998.20 ",Pending,Transfer,Tech30
SVC1186,Fatima Bello,Nissan Altima,Wheel Alignment,5/29/2025,"$130,574.70 ",Pending,Card,Tech24
SVC1187,John Doe,Honda Accord,Ac Service,4/4/2024,"$115,269.90 ",Pending,Cash,Tech30
SVC1188,Grace Johnson,Honda Accord,Wheel Alignment,5/22/2023,"$34,753.20 ",In Progress,Card,Tech46
SVC1189,Fatima Bello,Toyota Corolla,Battery Replacement,2/5/2024,"$24,359.50 ",Completed,Card,Tech43
SVC1190,Grace Johnson,Kia Rio,Ac Service,9/21/2024,"$44,433.60 ",Completed,Cash,Tech7
SVC1191,Emeka Obi,Toyota Corolla,Oil Change,7/15/2023,"$43,426.20 ",Pending,Card,Tech45
SVC1192,Jane Smith,Ford Focus,Unknown Service,10/13/2024,"$103,191.60 ",Completed,Cash,Tech29
SVC1193,Fatima Bello,Kia Rio,Brake Repair,9/23/2024,"$125,404.00 ",Completed,Card,Tech44
SVC1194,Grace Johnson,Kia Rio,Engine Diagnostics,11/17/2025,"$18,336.90 ",In Progress,Transfer,Tech30
SVC1195,Fatima Bello,Hyundai Elantra,Unknown Service,1/25/2023,"$56,321.80 ",Pending,Cash,Tech3
SVC1196,Emeka Obi,Honda Accord,Wheel Alignment,27/06/2025,"$60,537.20 ",Completed,Transfer,Tech35
SVC1198,Chinedu Okeke,Ford Focus,Battery Replacement,23/05/2025,"$31,073.30 ",Cancelled,Cash,Tech31
SVC1199,Adewale Musa,Honda Accord,Engine Diagnostics,6/29/2023,"$123,361.40 ",Completed,Card,Tech25
SVC1200,Jane Smith,Toyota Corolla,Oil Change,3/6/2025,"$142,396.00 ",Cancelled,Transfer,Tech35
SVC1201,Emeka Obi,Toyota Corolla,Battery Replacement,6/29/2024,"$74,308.40 ",Cancelled,Cash,Tech46
SVC1018,Adewale Musa,Hyundai Elantra,Brake Repair,2/27/2023,"$129,797.10 ",In Progress,Card,Tech7
SVC1203,Fatima Bello,Ford Focus,Ac Service,2/10/2023,"$107,541.50 ",In Progress,Cash,Tech43
SVC1204,Emeka Obi,Kia Rio,Brake Repair,8/16/2023,"$9,695.50 ",Pending,Transfer,Tech37
SVC1205,John Doe,Nissan Altima,Engine Diagnostics,11/10/2024,"$69,761.30 ",Cancelled,Card,Tech17
SVC1206,Fatima Bello,Honda Accord,Brake Repair,3/12/2025,"$55,928.50 ",Pending,Card,Tech39
SVC1207,John Doe,Kia Rio,Brake Repair,7/1/2023,"$29,665.30 ",Cancelled,Transfer,Tech19
SVC1208,Grace Johnson,Honda Accord,Battery Replacement,10/6/2025,"$19,682.40 ",Pending,Transfer,Tech29
SVC1209,Grace Johnson,Ford Focus,Brake Repair,6/1/2023,"$58,798.00 ",Completed,Card,Tech4
SVC1210,Adewale Musa,Nissan Altima,Brake Repair,11/18/2023,"$122,186.10 ",Completed,Transfer,Tech49
SVC1211,Jane Smith,Ford Focus,Engine Diagnostics,4/3/2025,"$148,300.60 ",Cancelled,Transfer,Tech17
SVC1212,Jane Smith,Kia Rio,Unknown Service,6/25/2023,"$80,354.80 ",In Progress,Transfer,Tech27
SVC1213,Grace Johnson,Hyundai Elantra,Ac Service,9/2/2025,"$43,299.80 ",In Progress,Card,Tech12
SVC1214,Jane Smith,Honda Accord,Battery Replacement,5/17/2025,"$138,521.10 ",In Progress,Cash,Tech18
SVC1215,Emeka Obi,Nissan Altima,Battery Replacement,10/29/2024,"$110,675.90 ",Completed,Card,Tech27
SVC1216,John Doe,Toyota Corolla,Ac Service,12/5/2024,"$63,490.90 ",Completed,Cash,Tech13
SVC1217,Tunde Bakare,Ford Focus,Battery Replacement,4/11/2023,"$124,408.40 ",Completed,Cash,Tech2
SVC1218,Chinedu Okeke,Ford Focus,Brake Repair,10/19/2024,"$126,459.80 ",Pending,Transfer,Tech2
SVC1219,John Doe,Ford Focus,Oil Change,9/29/2024,"$79,425.80 ",Pending,Card,Tech9
SVC1220,Jane Smith,Nissan Altima,Engine Diagnostics,7/15/2024,"$128,480.00 ",Completed,Card,Tech34
SVC1222,Fatima Bello,Kia Rio,Battery Replacement,6/12/2024,"$104,239.90 ",Completed,Transfer,Tech21
SVC1223,Chinedu Okeke,Honda Accord,Ac Service,7/5/2024,"$48,528.30 ",Completed,Transfer,Tech27
SVC1224,Adewale Musa,Kia Rio,Unknown Service,5/17/2025,"$37,382.60 ",In Progress,Cash,Tech7
SVC1225,Jane Smith,Kia Rio,Ac Service,8/1/2024,"$77,569.20 ",Pending,Transfer,Tech17
SVC1226,Chinedu Okeke,Nissan Altima,Engine Diagnostics,4/7/2025,"$117,946.50 ",Completed,Transfer,Tech4
SVC1227,Chinedu Okeke,Hyundai Elantra,Battery Replacement,1/4/2025,"$94,099.60 ",In Progress,Transfer,Tech41
SVC1228,Emeka Obi,Honda Accord,Ac Service,3/31/2024,"$95,869.60 ",Completed,Transfer,Tech1
SVC1229,Fatima Bello,Nissan Altima,Unknown Service,25/08/2025,"$91,473.60 ",In Progress,Transfer,Tech9
SVC1230,Grace Johnson,Ford Focus,Brake Repair,9/10/2024,"$90,505.50 ",Completed,Cash,Tech32
SVC1231,John Doe,Honda Accord,Engine Diagnostics,30/06/2023,"$65,432.50 ",Completed,Transfer,Tech41
SVC1232,John Doe,Toyota Corolla,Unknown Service,7/22/2025,"$125,444.60 ",Pending,Cash,Tech10
SVC1233,Jane Smith,Kia Rio,Brake Repair,3/8/2024,"$109,916.70 ",Cancelled,Transfer,Tech8
SVC1234,John Doe,Honda Accord,Oil Change,4/9/2023,"$18,774.80 ",In Progress,Transfer,Tech19
SVC1235,Tunde Bakare,Kia Rio,Ac Service,10/8/2023,"$31,516.10 ",Completed,Cash,Tech42
SVC1236,Chinedu Okeke,Kia Rio,Engine Diagnostics,11/13/2025,"$21,375.90 ",Completed,Transfer,Tech45
SVC1237,Jane Smith,Kia Rio,Brake Repair,9/16/2025,"$74,879.80 ",In Progress,Transfer,Tech21
SVC1238,John Doe,Hyundai Elantra,Oil Change,5/6/2025,"$50,828.90 ",Completed,Cash,Tech40
SVC1239,Tunde Bakare,Nissan Altima,Wheel Alignment,10/17/2025,"$34,993.40 ",Pending,Transfer,Tech26
SVC1240,Adewale Musa,Hyundai Elantra,Ac Service,11/7/2025,"$5,318.60 ",Completed,Cash,Tech15
SVC1241,Emeka Obi,Kia Rio,Brake Repair,19/07/2023,"$93,573.50 ",In Progress,Transfer,Tech34
SVC1242,Grace Johnson,Kia Rio,Oil Change,8/8/2023,"$100,476.20 ",Completed,Card,Tech30
SVC1243,Chinedu Okeke,Ford Focus,Wheel Alignment,7/11/2025,"$20,015.30 ",Pending,Cash,Tech34
SVC1244,Chinedu Okeke,Ford Focus,Unknown Service,22/12/2023,"$78,064.60 ",Completed,Card,Tech25
SVC1245,Grace Johnson,Nissan Altima,Oil Change,1/10/2023,"$807,958.50 ",Pending,Card,Tech36
SVC1246,Fatima Bello,Toyota Corolla,Wheel Alignment,5/15/2025,"$9,684.40 ",Completed,Cash,Tech36
SVC1248,Fatima Bello,Hyundai Elantra,Wheel Alignment,2/22/2024,"$145,045.80 ",Cancelled,Card,Tech18
SVC989,Chinedu Okeke,Kia Rio,Wheel Alignment,5/3/2025,"$47,655.80 ",Cancelled,Transfer,Tech42
SVC1250,Grace Johnson,Honda Accord,Unknown Service,7/2/2024,"$72,618.00 ",In Progress,Transfer,Tech50
SVC1252,Fatima Bello,Ford Focus,Oil Change,1/12/2023,"$36,894.50 ",Pending,Card,Tech4
SVC1253,Chinedu Okeke,Ford Focus,Engine Diagnostics,10/12/2024,"$42,205.60 ",In Progress,Transfer,Tech35
